RAM (MB),systemtime
53.671875,1532632236.352469
58.046875,1532632236.361496
75.43359375,1532632236.870314
75.65625,1532632237.380922
75.6640625,1532632237.890811
76.05078125,1532632238.3968792
76.078125,1532632238.903645
76.1484375,1532632239.408482
76.16015625,1532632239.913717
76.171875,1532632240.422125
76.17578125,1532632240.927806
76.17578125,1532632241.433001
76.18359375,1532632241.958584
76.19921875,1532632242.463604
76.19921875,1532632242.970199
76.20703125,1532632243.476265
76.2109375,1532632243.982742
76.22265625,1532632244.4881248
76.234375,1532632244.9934971
76.23828125,1532632245.498771
76.23828125,1532632246.0037818
76.2421875,1532632246.508312
76.2421875,1532632247.0154471
76.2421875,1532632247.5196328
76.24609375,1532632248.024446
76.24609375,1532632248.529727
76.24609375,1532632249.034058
76.25,1532632249.539594
76.25,1532632250.044779
76.25,1532632250.550038
76.25390625,1532632251.058372
58.91015625,1532632251.565815
58.921875,1532632251.9215848
