RAM (MB),systemtime
53.75,1532632287.88507
58.10546875,1532632287.8943381
75.48828125,1532632288.4033
75.7265625,1532632288.91228
75.98046875,1532632289.4224372
75.98828125,1532632289.927638
75.9921875,1532632290.432631
75.99609375,1532632290.937452
76.0,1532632291.442712
76.0078125,1532632291.947968
76.01953125,1532632292.455014
76.01953125,1532632292.9603012
76.109375,1532632293.4661891
76.12109375,1532632293.971466
76.12109375,1532632294.4768739
76.125,1532632294.9822478
76.12890625,1532632295.487585
76.13671875,1532632295.991822
76.1484375,1532632296.496143
76.15234375,1532632297.0013702
76.15234375,1532632297.507127
76.15234375,1532632298.0119932
76.15234375,1532632298.517496
76.15234375,1532632299.026735
58.94140625,1532632299.5358012
58.94921875,1532632299.881078
