time,cpu,ram
0.0,0.0,1.40625
0.2627739906311035,25.3,12.17578125
0.49997472763061523,0.0,12.17578125
0.7441296577453613,0.0,12.17578125
0.9796237945556641,0.0,12.17578125
1.085784673690796,1.9,12.5625
1.329831838607788,0.9,12.56640625
1.561344861984253,0.0,12.56640625
4.310151815414429,100.1,75.71640625
6.62124490737915,99.46,77.48640625
9.315252780914307,99.66,74.33640625000001
11.629091739654541,100.41,77.70640625
14.320289611816406,99.94,77.65640625
16.63609766960144,98.84,158.36640625
16.745625734329224,0.0,12.58203125
16.853260040283203,0.0,12.58203125
16.965097904205322,0.0,12.58203125
17.075037956237793,0.0,12.58203125
