RAM (MB),systemtime
53.7421875,1532632279.028939
58.015625,1532632279.038056
75.328125,1532632279.548053
75.54296875,1532632280.0568588
75.8046875,1532632280.564939
75.8125,1532632281.070327
75.91015625,1532632281.575747
75.91015625,1532632282.080978
75.91015625,1532632282.5863621
75.91015625,1532632283.092267
75.99609375,1532632283.598495
76.0,1532632284.103486
76.01953125,1532632284.608168
76.03515625,1532632285.113075
76.03515625,1532632285.618918
76.05078125,1532632286.124379
76.0546875,1532632286.6297102
76.06640625,1532632287.138853
58.859375,1532632287.648031
58.92578125,1532632287.853914
