RAM (MB),systemtime
53.71484375,1532632251.954901
58.10546875,1532632251.9672818
75.6484375,1532632252.47858
75.8828125,1532632252.986955
75.8984375,1532632253.492578
75.90625,1532632253.998006
75.93359375,1532632254.503073
75.94140625,1532632255.007916
75.953125,1532632255.514046
75.95703125,1532632256.019289
75.97265625,1532632256.524114
76.0390625,1532632257.028607
76.0390625,1532632257.533226
76.046875,1532632258.0386372
76.046875,1532632258.543424
76.05078125,1532632259.0477068
76.0546875,1532632259.553128
76.0625,1532632260.057506
76.078125,1532632260.5629408
58.96484375,1532632261.071729
58.97265625,1532632261.396673
