RAM (MB),systemtime
48.37109375,1532632314.41208
52.859375,1532632314.428122
70.8828125,1532632314.940307
71.140625,1532632315.448117
71.125,1532632315.953511
71.24609375,1532632316.45841
71.25,1532632316.963105
71.265625,1532632317.467493
71.26953125,1532632317.97232
71.28125,1532632318.4792252
71.28125,1532632318.9836988
71.28515625,1532632319.488944
71.29296875,1532632319.993163
71.296875,1532632320.498177
71.31640625,1532632321.003594
71.31640625,1532632321.5143921
71.3203125,1532632322.020594
71.3203125,1532632322.52685
71.33203125,1532632323.032166
71.34375,1532632323.538045
71.34375,1532632324.04512
71.3515625,1532632324.550038
71.3515625,1532632325.0545459
71.35546875,1532632325.558934
71.359375,1532632326.064311
71.359375,1532632326.576836
54.23828125,1532632327.084815
54.25,1532632327.2226932
