time,cpu,ram
0.0,0.0,1.29296875
0.23372817039489746,27.1,12.609375
0.49370908737182617,0.0,12.609375
0.7240149974822998,0.0,12.609375
0.975905179977417,0.0,12.609375
1.2318952083587646,0.0,12.609375
1.518198013305664,2.2,12.8046875
1.7536981105804443,0.0,12.8046875
4.061988830566406,99.9,75.8846875
6.374898910522461,98.42,44.1046875
9.069475889205933,96.75,180.5046875
9.17559003829956,0.0,12.82421875
9.285053014755249,0.0,12.82421875
9.39695692062378,0.0,12.82421875
9.504585027694702,0.0,12.82421875
9.613475799560547,0.0,12.82421875
