time,cpu,ram
0.0,0.0,1.828125
0.447890043258667,36.5,12.203125
0.7085609436035156,0.0,12.203125
0.9365320205688477,0.0,12.203125
1.1738219261169434,0.0,12.203125
1.4154670238494873,0.0,12.203125
1.6675169467926025,2.1,12.48046875
1.9067139625549316,0.0,12.48046875
2.167693853378296,0.0,12.48046875
4.512212038040161,100.19,75.52046874999999
7.191854953765869,98.0,158.28046875
9.501537084579468,98.41,75.69046875000001
12.209520816802979,95.99,32.83046875
14.51830792427063,99.82,77.69046875
17.164252996444702,0.0,12.50390625
