RAM (MB),systemtime
53.6640625,1532632221.990494
58.0,1532632222.0046751
75.44140625,1532632222.510571
75.67578125,1532632223.015973
75.98046875,1532632223.521451
75.98828125,1532632224.027529
75.99609375,1532632224.532895
76.03125,1532632225.037696
76.046875,1532632225.5432498
76.0546875,1532632226.048239
76.0625,1532632226.553362
76.06640625,1532632227.058131
76.078125,1532632227.564985
76.08203125,1532632228.070118
76.08203125,1532632228.5753632
76.08984375,1532632229.0801039
76.09375,1532632229.58527
76.109375,1532632230.090971
76.12109375,1532632230.598166
76.125,1532632231.104156
76.125,1532632231.608435
76.125,1532632232.114783
76.125,1532632232.619267
76.1328125,1532632233.1246002
76.1328125,1532632233.629683
76.13671875,1532632234.13556
76.13671875,1532632234.639668
76.140625,1532632235.144635
76.140625,1532632235.650479
58.9296875,1532632236.157399
58.9375,1532632236.32038
