RAM (MB),systemtime
52.4765625,1532632194.906645
56.765625,1532632194.921605
74.4921875,1532632195.431822
74.73046875,1532632195.946209
74.7421875,1532632196.4525802
74.76953125,1532632196.961889
74.97265625,1532632197.471067
74.98046875,1532632197.976226
74.984375,1532632198.480931
75.00390625,1532632198.9851038
75.01953125,1532632199.49053
75.01953125,1532632199.99567
75.01953125,1532632200.5005262
75.01953125,1532632201.005711
75.01953125,1532632201.51058
75.01953125,1532632202.0160818
75.01953125,1532632202.52284
75.01953125,1532632203.0273018
75.0234375,1532632203.536032
75.0234375,1532632204.041148
75.0234375,1532632204.546068
75.0234375,1532632205.05081
75.02734375,1532632205.555784
75.02734375,1532632206.059627
75.02734375,1532632206.564464
75.02734375,1532632207.069387
75.02734375,1532632207.574826
75.03125,1532632208.079635
75.03125,1532632208.584951
75.03125,1532632209.090268
75.03125,1532632209.595399
75.03125,1532632210.099839
75.03125,1532632210.605331
75.03125,1532632211.110249
75.03125,1532632211.619422
57.8671875,1532632212.129318
57.875,1532632212.2482939
