process,ncall,norecall,totaltime,cumulativetime,subcalls
~#0(<built-in method _thread.get_ident>),2,2,0.0,0.0,"{('<frozen importlib._bootstrap>', 77, 'acquire'): (1, 1, 0.0, 0.0), ('<frozen importlib._bootstrap>', 102, 'release'): (1, 1, 0.0, 0.0)}"
<frozen importlib._bootstrap>#410(has_location),1,1,0.0,0.0,"{('<frozen importlib._bootstrap>', 493, '_init_module_attrs'): (1, 1, 0.0, 0.0)}"
<frozen importlib._bootstrap_external>#825(get_filename),1,1,0.0,0.0,"{('<frozen importlib._bootstrap_external>', 393, '_check_name_wrapper'): (1, 1, 0.0, 0.0)}"
/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/selectors.py#198(__enter__),4,4,0.0,0.0,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/subprocess.py', 1455, '_communicate'): (3, 3, 0.0, 0.0), ('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/multiprocessing/connection.py', 897, 'wait'): (1, 1, 0.0, 0.0)}"
~#0(<method 'detach' of '_socket.socket' objects>),4,4,0.0,0.0,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/socket.py', 419, 'detach'): (2, 2, 0.0, 0.0), ('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/socket.py', 475, 'socketpair'): (2, 2, 0.0, 0.0)}"
~#0(<method 'disable' of '_lsprof.Profiler' objects>),1,1,0.0,0.0,{}
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py#310(<genexpr>),3,3,0.0,0.0,"{('~', 0, ""<method 'join' of 'str' objects>""): (3, 3, 0.0, 0.0)}"
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py#834(<listcomp>),1,1,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py', 833, '_writeConfigurationFiles'): (1, 1, 0.0, 0.0)}"
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/validator.py#66(<listcomp>),1,1,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/validator.py', 16, 'validate_descriptor'): (1, 1, 0.0, 0.0)}"
~#0(<method 'bit_length' of 'int' objects>),1,1,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py', 222, '_randbelow'): (1, 1, 1e-06, 1e-06)}"
~#0(<method 'rfind' of 'str' objects>),1,1,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/posixpath.py', 102, 'split'): (1, 1, 1e-06, 1e-06)}"
~#0(<built-in method _imp.acquire_lock>),3,3,1e-06,1e-06,"{('<frozen importlib._bootstrap>', 834, '__enter__'): (3, 3, 1e-06, 1e-06)}"
~#0(<built-in method _imp.release_lock>),4,4,1e-06,1e-06,"{('<frozen importlib._bootstrap>', 146, '__enter__'): (1, 1, 0.0, 0.0), ('<frozen importlib._bootstrap>', 838, '__exit__'): (3, 3, 1e-06, 1e-06)}"
~#0(<built-in method _imp.is_frozen>),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap>', 771, 'find_spec'): (1, 1, 1e-06, 1e-06)}"
~#0(<built-in method _imp._fix_co_filename>),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap_external>', 485, '_compile_bytecode'): (1, 1, 1e-06, 1e-06)}"
~#0(<method 'group' of '_sre.SRE_Match' objects>),2,2,1e-06,1e-06,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/argparse.py', 2046, '_match_argument'): (2, 2, 1e-06, 1e-06)}"
<frozen importlib._bootstrap_external>#37(_relax_case),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap_external>', 1233, 'find_spec'): (1, 1, 1e-06, 1e-06)}"
<frozen importlib._bootstrap>#142(__init__),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap>', 958, '_find_and_load'): (1, 1, 1e-06, 1e-06)}"
<frozen importlib._bootstrap>#173(cb),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap>', 958, '_find_and_load'): (1, 1, 1e-06, 1e-06)}"
<frozen importlib._bootstrap>#293(__init__),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap>', 641, '_load_unlocked'): (1, 1, 1e-06, 1e-06)}"
<frozen importlib._bootstrap>#297(__enter__),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap>', 641, '_load_unlocked'): (1, 1, 1e-06, 1e-06)}"
<frozen importlib._bootstrap>#307(<genexpr>),4,4,1e-06,1e-06,"{('~', 0, '<built-in method builtins.any>'): (4, 4, 1e-06, 1e-06)}"
<frozen importlib._bootstrap>#698(find_spec),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap>', 861, '_find_spec'): (1, 1, 1e-06, 1e-06)}"
<frozen importlib._bootstrap_external>#669(create_module),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap>', 553, 'module_from_spec'): (1, 1, 1e-06, 1e-06)}"
<frozen importlib._bootstrap_external>#800(__init__),1,1,1e-06,1e-06,"{('<frozen importlib._bootstrap_external>', 1228, '_get_spec'): (1, 1, 1e-06, 1e-06)}"
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py#685(seed),1,1,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py', 87, '__init__'): (1, 1, 1e-06, 1e-06)}"
/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/argparse.py#1638(identity),6,6,1e-06,1e-06,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/argparse.py', 2282, '_get_value'): (6, 6, 1e-06, 1e-06)}"
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/psutil/__init__.py#408(__eq__),1,1,0.0,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/psutil/__init__.py', 552, 'is_running'): (1, 1, 0.0, 1e-06)}"
